"","id","company_urlname","company_id","shares","C2B_likes","total_comments","created_date","post_time","post_date","weekday","time","type","afinnscore","bingscore","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","message"
"1",1,"Acura","85299287409",0,30,17,"2012-03-12","17:03:51","2012-03-12",1,"afternoon","link",3,1,0,0,0,0,1,0,1,0,0,0,"driving to work may not be one of them, but are there some places you love to drive to?"
"2",2,"Acura","85299287409",0,55,53,"2012-03-11","17:01:37","2012-03-11",7,"afternoon","link",NA,1,0,0,0,0,0,0,1,0,0,0,"good morning acura fans! what are you going to do with that extra hour of daylight?"
"3",3,"Acura","85299287409",0,53,31,"2012-03-10","19:01:28","2012-03-10",6,"night","link",-3,-1,1,0,0,0,0,1,1,1,0,0,"remember to set your clocks ahead 1 hour tonight. how do you feel about losing an hour of sleep?"
"4",4,"Acura","85299287409",19,180,60,"2012-03-09","17:16:44","2012-03-09",5,"afternoon","link",5,1,0,1,0,0,1,0,3,0,1,1,"excited for the new acura ilx? get on our interest list today to receive exclusive information on this all new acura model! "
"5",5,"Acura","85299287409",2,87,15,"2012-03-09","02:41:37","2012-03-09",5,"early morning","link",7,2,0,3,0,0,3,0,3,0,1,2,"you may remember tyson hugie as the acura owner who drove his legend to 500,000 miles. as an acura enthusiast for 15 years, we thought he’d be the perfect fan to take a first look at the new ilx and share his thoughts. to see what he has to say, check out the new tyson tab on the here: _296232597109442"
"6",6,"Acura","85299287409",0,24,9,"2012-03-07","19:02:40","2012-03-07",3,"night","link",1,2,0,0,0,0,0,0,1,0,0,0,"it’s quick and easy to retrieve your radio or navi code. find it fast at my acura."
"7",7,"Acura","85299287409",0,0,0,"2012-03-06","17:04:00","2012-03-06",2,"afternoon","question",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Acura","85299287409",0,30,60,"2012-03-05","18:11:58","2012-03-05",1,"afternoon","link",3,1,0,1,0,0,1,0,1,0,0,1,"happy monday! what did you and your acura do this past weekend?"
"9",9,"Acura","85299287409",0,320,41,"2012-03-04","18:11:37","2012-03-04",7,"afternoon","link",-3,0,0,0,0,0,0,1,1,1,0,1,"like this status if your acura navigation system helped you find your way when you were lost."
"10",10,"Acura","85299287409",0,31,18,"2012-03-03","18:11:31","2012-03-03",6,"afternoon","link",1,0,1,1,0,1,2,1,2,1,1,0,"are you lucky enough to steal away for a winter vacation? where are you going?"
"11",11,"Acura","85299287409",0,61,6,"2012-03-02","22:32:04","2012-03-02",5,"night","link",5,5,1,1,1,1,2,1,3,1,1,1,"congratulations to the 5 acura fans who submitted winning videos in our rdx essential luxury challenge! to see who the winners are check the contest tab here:"
"12",12,"Acura","85299287409",0,40,26,"2012-03-02","18:14:30","2012-03-02",5,"afternoon","link",4,1,0,1,0,0,1,0,2,0,0,1,"do you have a story to share about your acura? visit our celebrate site and tell us about it:"
"13",13,"Acura","85299287409",0,27,111,"2012-03-01","18:12:15","2012-03-01",4,"afternoon","link",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"what song really gets you in the mood to drive?"
"14",14,"Acura","85299287409",0,40,5,"2012-02-29","19:15:07","2012-02-29",3,"night","link",5,2,0,3,0,0,2,0,3,0,0,2,"happy leap day everyone! get out there and enjoy the extra day, the next one won’t happen till 2016."
