Date,Search AD,Membership,Direct Volumn,Search Volumn,Referral Volumn,Number of Ads,Display AD,Seller Community,State
3/1/11,1038382.54,12744,1155457,1111527,1415348,13,220912,150683,1
3/2/11,1034441.34,12634,1135552,1092357,1372496,37,618960,4085437,1
3/3/11,1047495.09,12464,1087455,1089910,1214663,47,874574,308611,1
3/4/11,1040088.46,11860,1014076,1079602,1233782,85,1421902,2155664,1
3/5/11,579051.17,10996,142349,874988,1052213,85,1421902,178194,1
3/6/11,461918.84,10757,143600,810595,933174,75,1242026,317965,1
3/7/11,1059027.9,13225,984553,1143672,1271720,75,1242026,26316,1
3/8/11,1054448.55,12977,983299,1100841,1242230,84,1361434,250,1
3/9/11,1092731.76,13527,988048,1163088,1322886,69,1167776,576,1
3/10/11,1014279.07,13939,960700,1153017,1509216,89,1534982,6171,1
3/11/11,972476.15,13387,816281,895989,1269857,77,1295172,106674,1
3/12/11,599279.93,11243,209920,874958,1205856,77,1295172,2362558,1
3/13/11,470715.62,11830,213499,818158,1071453,62,909919,143634,1
3/14/11,859091.43,14950,670479,1180789,1492047,62,909919,2699867,1
3/15/11,886636.29,14489,725481,1174073,1484532,42,707212,466650,1
3/16/11,909038.13,20394,754135,1170811,1494603,37,613292,274466,1
3/17/11,894102.07,13875,748895,1204851,1431062,51,803480,26429,1
3/18/11,956401.14,13606,776774,1094069,1440644,117,1919744,357,1
3/19/11,709013.65,12105,275127,898946,1196282,117,1919744,781,1
3/20/11,544014.23,11536,264908,805548,1037822,89,1467261.5,3612,1
3/21/11,994052.41,14593,776949,1149080,1408233,89,1467261.5,119608,1
3/22/11,990700.88,14315,765488,1148569,1395976,43,852301,3951452,1
3/23/11,979575.41,13978,753982,1105142,1401086,63,992440,313566,1
3/24/11,996280.96,14168,743314,1130691,1425712,65,1073710,2633203,1
3/25/11,947747.94,13436,493084,988353,1287145.5,148,2214082,434279,1
3/26/11,672679.88,11549,242854,846015,1148579,148,2214082,278542,1
3/27/11,521045.16,11075,237537,764369,1028318,73,1149152,21587,1
3/28/11,966739.05,14699,727823,1123975,1452888,73,1149152,164,1
3/29/11,972750.56,14861,721812,1128910,1489660,51,910650,487,1
3/30/11,972461.59,14799,671137,1117832,1486299,52,757493.92,3847,1
3/31/11,1145211.26,14566,657904,1110053,1482069,142,2048005,113713,1
4/1/11,977476.01,14035,650863,1082225,1511901,14,184949,4005077,1
4/2/11,838395.46,12812,293645,1010857,1419155,17,261460,311753,1
4/3/11,605405.73,10667,276135,761140,1142907,17,261460,2607773,1
4/4/11,747578.81,10815,615063,757177,1186682,17,261460,277412,1
4/5/11,704347.4,10523,627788,751740,1127841,12,168550,187369,1
4/6/11,1010237.58,15151,671948,1158637,1543831,12,168550,24901,1
4/7/11,1024697.18,15409,681574,1159018,1544369,7,127740,159,1
4/8/11,995504.58,14587,660535,1107955,1590326,13,412800,382,1
4/9/11,766449.58,12844,277618,915242,1409841,1,18000,6610,1
4/10/11,609746.5,12948,273835,825027,1247499,22,767680,105735,1
4/11/11,1015458.4,16095,654468,1171163,1640563,22,767680,2957362,1
4/12/11,1030522.82,16080,655962,1183522,1629632,20,269531,216843,1
4/13/11,1063672.8,16104,658198,1181201,1606731,16,302200.01,1630238,1
4/14/11,1065483.27,15945,664480,1147100,1605903,25,367163.06,481699,1
4/15/11,1041637.35,15739,675242,1096098,1602243,21,617312,226624,1
4/16/11,806465.85,13924,297462,888567,1417265,1,20400,25051,1
4/17/11,637729.97,13402,291355,802119,1205740,1,20400,257,1
4/18/11,1078041.83,17204,672340,1144592,1641766,15,282500,714,1
4/19/11,1088178.62,17425,686192,1123666,1628749,17,492212,4637,1
4/20/11,1093842.84,16711,680395,1115222,6748056,9,367180,82027,1
4/21/11,1132820.66,17359,726248,1175604,1641263,8,243122,3762369,1
4/22/11,1092643.9,15190,721050,1078347,1626830,20,597820,310298,1
4/23/11,810506.86,14530,317863,879535,1365980,1,2700,2363151,1
4/24/11,646288.04,13908,308954,798254,1180977,19,563850,446970,1
4/25/11,1108168.06,18134,771578,1153047,1648898,19,563850,187565,1
4/26/11,1130758.98,18331,746560,1138201,1555528,16,246000,21286,1
4/27/11,1145149.79,17540,732882,1110426,1555178,22,597635,0,1
4/28/11,1139214.52,16172.5,761554,1053117,1508182,26,1036706,284,1
4/29/11,1083738.93,14805,773678,936223,1606502,61,960437,3312,1
4/30/11,1043603.04,10526,357199,685627,1194245,1,14250,5527,1
5/1/11,514483.47,6611,351655,584828,952658,1,14250,100354,1
