Date,Search AD,Membership,Direct Volumn,Search Volumn,Referral Volumn,Number of Ads,Display AD,Seller Community,State
10/1/10,611911.04,3164,254742,925349,532800,57,910262,8621,0
10/2/10,304285.14,4367,320438,1182742,683447,57,910262,160992,0
10/3/10,314934.69,5693,298304,1201440,672891,57,910262,4256748,0
10/4/10,735275.26,7634,1212023,1321080,1036487,57,910262,286411,0
10/5/10,773972.96,7861,1235900,1412837,1100739,57,910262,2762952,0
10/6/10,818483.7,8331,1240603,1544920,1146233,16,283970,392229,0
10/7/10,841228.88,9008,1253139,1667079,1165560,16,283970,236470,0
10/8/10,911547.44,10157,1247570,1983969,1256620,16,283970,23912,0
10/9/10,637621.6,9829,330574,1921111,1064718,16,283970,70159,0
10/10/10,451194.65,9007,319431,1644385,890147,16,209092,919,0
10/11/10,953276.25,9873,1123794,2036036,1249760,27,448935,8399,0
10/12/10,930388.27,10873,1047538,2031894,1235792,27,448935,163500,0
10/13/10,917222.01,10372,1122423,1978526,1209011,33,529306,4316673,0
10/14/10,900583.25,10358,1181866,1984032,1211481,33,576750,275692,0
10/15/10,882028.84,9769,1149280,1819944,1151726,44,800962,2288259,0
10/16/10,493065.77,8772,324730,1541010,888392,58,856140,149794,0
10/17/10,391999.26,8758,323272,1493668,742857,58,856140,361198,0
10/18/10,913099.02,11076,1165205,1976982,1196915,126,1867090,33192,0
10/19/10,916230.39,10981,1177544,1943037,1217410,126,1867090,81675,0
10/20/10,927240.2,10969,1194925,1916859,1262958,83,1332591,1431,0
10/21/10,923360.91,11047,1192027,1874906,1291400,93,1556380,7418,0
10/22/10,907771.05,10364,1210565,1795134,1291911,89,1443000,115301,0
10/23/10,530542.4,9503,380604,1561690,940652,127,2262581,2347383,0
10/24/10,420867.53,9222,429140,1566790,858807,127,2262581,122921,0
10/25/10,1188155.95,11701,1284147,1980187,1282320,102,1644665,2643648,0
10/26/10,944003.76,12194,1256589,1905993,1270730,102,1644665,445857,0
10/27/10,979840.43,12268,1224572,1838104,1244188,70,1173665,393188,0
10/28/10,973018.45,12306,1268281,1815355,1243510,70,1215482,30898,0
10/29/10,936234.69,11665,1281348,1729314,1246000,106,1704414,107158,0
10/30/10,525268.86,9976,443951,1437062,889645,157,2603254,1015,0
10/31/10,402710.44,9581,403293,1376541,826163,44,574275,5368,0
11/1/10,964649.03,12310,1263146,1894593,1277289,44,574275,136533,0
11/2/10,988766.62,12521,1166713,1856120,1257923,48,713180,4184788,0
11/3/10,1015914.9,12301,1187502,1869115,1332479,47,719080,297059,0
11/4/10,1012164.51,9461,1187503,1781629,1378226,26,510352,2655230,0
